tid,EN
TID_STAGE_CLEARED_HEADER,Stage <number>/<total>
TID_STAGE_CLEARED_HEADER_ENDLESS,Stage <number>
TID_STAGE_CLEARED_FOOTER,CLEARED!
TID_LEVEL_END_HEADER,YOU CLEARED
TID_LEVEL_END_HEADER_COMPLETED,LEVEL
TID_LEVEL_END_HEADER_BOSS_VICTORY,YOU DEFEATED THE
TID_LEVEL_END_HEADER_BOSS_DEFEAT,YOU LOST TO THE
TID_LEVEL_END_MAIN,<number>/<total> stages
TID_LEVEL_END_MAIN_SINGULAR,<number>/1 stage
TID_LEVEL_END_MAIN_COMPLETED,COMPLETED!
TID_LEVEL_END_MAIN_ENDLESS,<number> stages
TID_LEVEL_END_MAIN_ENDLESS_SINGULAR,1 stage
TID_LEVEL_END_ENDLESS_DEFENSES,<number> defenses
TID_LEVEL_END_ENDLESS_DEFENSES_SINGULAR,1 defense
TID_CHEST_GAINED,
TID_NEXT_LEVEL_UNLOCKED,Next level unlocked!
TID_NEXT_NODE_UNLOCKED,Island unlocked!
TID_NEXT_NODES_UNLOCKED,Islands unlocked!
TID_NEW_HIGHSCORE,New highscore!
,
TID_BOSS_NAME_LAVAGOLEM,Lava Golem
TID_BOSS_NAME_PAPADRAGON,Papa Dragon
TID_BOSS_NAME_GOBLIN,Goblin King
,
TID_GOLD,Gold
TID_ELIXIR,Elixir
,
TID_NOT_ENOUGH_ELIXIR,You need more <cFD35ED>Elixir</c> for this upgrade.\n\nGet more <cFD35ED>Elixir</c> by clearing levels.
TID_NOT_ENOUGH_GOLD,You need more <cF8A203>Gold</c> for this upgrade.\n\nGet more <cF8A203>Gold</c> by destroying enemy defenses.
TID_NOT_ENOUGH_ENERGY_SCROLL,You don't have enough Quest Tokens!
,
TID_POPUP_NOT_ENOUGH_ENERGY_TITLE,Out of Energy!
TID_POPUP_NOT_ENOUGH_ENERGY_TEXT,Do you want to use a Quest Token to play?\n\nYou have <number> Quest Tokens.
TID_POPUP_NOT_ENOUGH_ENERGY_BUTTON,Use Token
TID_POPUP_NOT_ENOUGH_ENERGY_AND_BATTLE_TOKENS_TITLE,Out of Energy!
TID_POPUP_NOT_ENOUGH_ENERGY_AND_BATTLE_TOKENS_TEXT,You're out of Energy and Quest Tokens.\n\nDo you want to buy a Quest Token to play?
TID_POPUP_CHALLENGE_FREE_TRIES_USED_TITLE,Free try used!
TID_POPUP_CHALLENGE_FREE_TRIES_USED_TEXT,You have one free try per day. Do you want to use a League Token to play?\n\nYou have <number> League Tokens.
TID_POPUP_USE_CHALLENGE_BUTTON,Use Token
TID_POPUP_CHALLENGE_FREE_TRIES_AND_CHALLENGE_TOKENS_USED_TEXT,You're out of Free Tries and League Tokens.
TID_POPUP_SHOP_UNLOCKED_TITLE,Shop unlocked!
TID_POPUP_SHOP_UNLOCKED_TEXT,Good progress on your Quest!\n\nYou can now check what's available in the Shop.
TID_POPUP_ENDLESS_MODE_UNLOCKED_TITLE,League unlocked!
TID_POPUP_ENDLESS_MODE_UNLOCKED_TEXT,Good progress on your Quest!\n\nYou can now access the League and compete in the Leaderboards!
,
TID_ATTACK,Attack
TID_AREA_ATTACK,Area Attack
TID_HEALTH,Health
TID_STUN,Stun turns
TID_BUTTON_UPGRADE,Upgrade
TID_ITEMS,Items
TID_STATS,Stats
TID_MAX_CAP,/<VALUE>
TID_BUTTON_EQUIP,Equip
TID_BUTTON_CLOSE,Close
TID_EQUIPPED,Equipped
TID_EQUIPPED_UPPER_CASE,EQUIPPED
TID_ALREADY_EQUIPPED,Already equipped!
TID_ITEM_UNAVAILABLE,You haven't found this item yet!
TID_ITEM_REQUIREMENT,x combo required.
TID_ITEM_REQUIREMENT_ACTIVE,Attack with <NUMBER> or more units to activate the item power.
TID_ITEM_REQUIREMENT_PASSIVE,Build a group of <NUMBER> or more units on your board to activate the item power.
TID_BADGE_NEW,NEW
TID_CAP_EXPLANATION_SINGULAR,"You have 1 <NAME>, out of maximum of <MAX>."
TID_CAP_EXPLANATION,"You have <NUMBER> <NAME>s, out of maximum of <MAX>."
TID_QUEST_DESCRIPTION_BARREL,"A squad of Bombers has rigged the base with explosive barrels. There's a nice reward for taking care of them! But beware, the rest will flee after the fight!"
TID_QUEST_DESCRIPTION_WAGON,Spear Goblins are escorting a treasure wagon through the base. Now would be a good time to relieve them of the burden!
TID_BUTTON_TEMP_UNIT,Temp Unit
TID_CARD_NOT_YET_UNLOCKED,"You haven't found this unit yet, but you can use it in today's League battles!"
TID_BUTTON_MAXED,Maxed Out!
,
TID_HEADER_YOUR_ARMY,Your Army
TID_HEADER_SPELLS_AND_TACTICS,Spells & Tactics
TID_HEADER_REWARDS,Rewards
TID_HEADER_REINFORCEMENTS,Refill units
TID_HEADER_SELECT_REINFORCEMENTS,Select a refill
TID_HEADER_SELECT_REFILL_SPELL,Select a refill
TID_HEADER_SELECT_REFILL_UNIT,Select a refill
TID_HEADER_SELECT_REFILL_TACTIC,Select a refill
TID_CHEST_ALREADY_OPENED,You’ve already looted this Chest.
TID_CHEST_AVAILABLE,Get this Chest by clearing stage <number>.
TID_HEADER_CHALLENGE,Day <DAY>/<SEASON>
TID_HEADER_LEAGUE,League
TID_LABEL_DAY,Day
,
TID_RARITY_TEXT_COLOR_1,<cD87F48>
TID_RARITY_TEXT_COLOR_2,<c4E68A5>
TID_RARITY_TEXT_COLOR_3,<cF38200>
TID_RARITY_TEXT_COLOR_4,<c10936E>
,
TID_RARITY_COLOR_1,D87F48
TID_RARITY_COLOR_2,4E68A5
TID_RARITY_COLOR_3,F38200
TID_RARITY_COLOR_4,10936E
,
TID_RARITY_1,Level 1
TID_RARITY_2,Level 2
TID_RARITY_3,Level 3
TID_RARITY_4,Level 4
,
TID_BOW_1,Fire Bow
TID_BOW_2,Quick Bow
TID_BOW_3,Strong Bow
TID_SWORD_1,Heavy Sword
TID_SWORD_2,Guarding Sword
TID_SWORD_3,Rage Sword
TID_BRACELET_1,Fire Robe
TID_BRACELET_2,Explosive Robe
TID_BRACELET_3,Armor Robe
TID_LANCE_1,Twofold Lance
TID_LANCE_2,Power Lance
TID_LANCE_3,Shield Lance
TID_DAGGER_1,Triple Dagger
TID_DAGGER_2,Fury Dagger
TID_DAGGER_3,Dodgy Dagger
TID_GAUNTLET_1,Defensive Gauntlet
TID_GAUNTLET_2,Power Gauntlet
TID_GAUNTLET_3,Healing Gauntlet
TID_PEKKASWORD_1,Lightning Blade
TID_PEKKASWORD_2,Defensive Blade
TID_PEKKASWORD_3,Dual Blade
TID_BOMB_1,Ice Bomb
TID_BOMB_2,Heavy Bomb
TID_BOMB_3,Rage Bomb
TID_MINIONGAUNTLET_1,Explosive Gloves
TID_MINIONGAUNTLET_2,Dodgy Gloves
TID_MINIONGAUNTLET_3,Strong Gloves
TID_COLLAR_1,Scattering Collar
TID_COLLAR_2,Fire Collar
TID_COLLAR_3,Force Collar
TID_AXE_1,Fast Axe
TID_AXE_2,Parry Axe
TID_AXE_3,Lightning Axe
TID_BATTERY_1,Sparky Battery
TID_BATTERY_2,Overcharged Battery
TID_BATTERY_3,Shielding Battery
TID_QUIVER_1,Large Quiver
TID_QUIVER_2,Fine Quiver
TID_QUIVER_3,Dark Quiver
,
TID_BOW_1_INFO,Sets target on fire <RARITY_COLOR>(<ATTRIBUTE_1>% damage per turn)</c>. The neighboring tiles can also catch the fire with 50% chance.
TID_BOW_2_INFO,<RARITY_COLOR><CHANCE_1>% chance</c> for an extra shot <RARITY_COLOR>(+<ATTRIBUTE_1>% damage).</c>
TID_BOW_3_INFO,Causes <RARITY_COLOR>+<ATTRIBUTE_1>% more damage</c>.
TID_SWORD_1_INFO,<RARITY_COLOR><CHANCE_1>% chance</c> for a critical hit <RARITY_COLOR>(2x damage)</c>.
TID_SWORD_2_INFO,<RARITY_COLOR>Blocks <ATTRIBUTE_1>%</c> of incoming damage.
TID_SWORD_3_INFO,Causes <RARITY_COLOR>+<ATTRIBUTE_1>% more damage</c> when wounded.
TID_BRACELET_1_INFO,Sets target on fire for 5 turns <RARITY_COLOR>(<ATTRIBUTE_1>% of full damage per turn).</c>
TID_BRACELET_2_INFO,<RARITY_COLOR><CHANCE_1>% chance</c> of spawning two smaller fireballs <RARITY_COLOR>(<ATTRIBUTE_1>% of full damage)</c> to random targets.
TID_BRACELET_3_INFO,<RARITY_COLOR>Blocks <ATTRIBUTE_1>%</c> of incoming damage.
TID_LANCE_1_INFO,"After destroying a target, hits a second target behind it with <RARITY_COLOR><ATTRIBUTE_1>% of full damage</c>."
TID_LANCE_2_INFO,Damages adjacent squares with <RARITY_COLOR><ATTRIBUTE_1>% damage</c>.
TID_LANCE_3_INFO,<RARITY_COLOR>Blocks <ATTRIBUTE_1>%</c> of incoming damage.
TID_DAGGER_1_INFO,<RARITY_COLOR><CHANCE_1>% chance</c> of striking three times instead of one <RARITY_COLOR>(3x damage)</c>.
TID_DAGGER_2_INFO,"After destroying a target, gain a second attack with <RARITY_COLOR>+<ATTRIBUTE_1>% damage</c>."
TID_DAGGER_3_INFO,<RARITY_COLOR><CHANCE_1>% chance</c> of dodging an enemy attack.
TID_GAUNTLET_1_INFO,<RARITY_COLOR>Blocks <ATTRIBUTE_1>%</c> of incoming damage.
TID_GAUNTLET_2_INFO,Damages adjacent squares with <RARITY_COLOR><ATTRIBUTE_1>% of full damage</c>.
TID_GAUNTLET_3_INFO,Heals <RARITY_COLOR><ATTRIBUTE_1> health</c> per turn.
TID_PEKKASWORD_1_INFO,"<RARITY_COLOR><CHANCE_1>% chance</c> of an electric attack that jumps to a nearby building, causing <RARITY_COLOR><ATTRIBUTE_1> points of damage</c>."
TID_PEKKASWORD_2_INFO,"<RARITY_COLOR>Blocks <ATTRIBUTE_1>%</c> of incoming damage, with a <RARITY_COLOR><CHANCE_2>% chance</c> to shoot a zap <RARITY_COLOR>(<ATTRIBUTE_2> points of damage)</c> to a nearby enemy."
TID_PEKKASWORD_3_INFO,<RARITY_COLOR><CHANCE_1>% chance</c> for a second strike with <RARITY_COLOR><ATTRIBUTE_1>% of full damage.</c>
TID_BOMB_1_INFO,Inside the area target has <RARITY_COLOR><CHANCE_1>% chance </c> of becoming frozen for 2 turns.
TID_BOMB_2_INFO,Deals <RARITY_COLOR><ATTRIBUTE_1>% more damage </c> to where the bomb hits.
TID_BOMB_3_INFO,Gives surrounding units <RARITY_COLOR><ATTRIBUTE_1> more attack power </c> when activated.
TID_MINIONGAUNTLET_1_INFO,Drops bombs that damage also 2 random neighboring tiles
TID_MINIONGAUNTLET_2_INFO,Chance to dodge the attack
TID_MINIONGAUNTLET_3_INFO,More powerful attack
TID_COLLAR_1_INFO,Also damages adjacent columns with <RARITY_COLOR><ATTRIBUTE_1>% damage.</c>
TID_COLLAR_2_INFO,Sets all targets on fire for 5 turns with <RARITY_COLOR><ATTRIBUTE_1>% of full damage per turn.</c>
TID_COLLAR_3_INFO,Extra <RARITY_COLOR><ATTRIBUTE_1>% damage </c> for the first opponent.
TID_AXE_1_INFO,Chance to do an extra spin
TID_AXE_2_INFO,Damage reduction
TID_AXE_3_INFO,"if attacked, chance for lightning strike"
TID_BATTERY_1_INFO,chance for the zap to jump on additional building
TID_BATTERY_2_INFO,small chance for causing super damage
TID_BATTERY_3_INFO,damage reduction
TID_QUIVER_1_INFO,Princess can shoot extra arrow
TID_QUIVER_2_INFO,each shot does extra damage
TID_QUIVER_3_INFO,"If damaged, chance to return back to the supply"
TID_COMBO_MULTIPLIER,<number>x Combo
TID_COMBO_PERCENTAGE,+<number>%
TID_COMBO_DAMAGE,damage
,
TID_REWARD_TYPE_RESOURCE,Resource: <name>
TID_REWARD_TYPE_CAP,1x <name>
TID_REWARD_TYPE_CAP_MULTIPLE,<number>x <name>
TID_REWARD_TYPE_CAP_TOTAL,Now <number> in total!
TID_REWARD_TYPE_ELIXIR,Elixir
TID_REWARD_TYPE_ITEM,Item: <name>
TID_REWARD_TYPE_ITEM_UPGRADE,Item Upgrade: <name>
TID_REWARD_TYPE_UNLOCK,Unlocked: <name>
TID_REWARD_TYPE_LABEL_GOLD,<number> Gold
TID_REWERD_TYPE_LABEL_QUEST_TOKENS,<number> Quest Tokens
,
TID_REWARD_TYPE_INFO_CAP,Grow your army with more units to use in battle!
TID_REWARD_TYPE_INFO_ELIXIR,Elixir is used together with Gold to upgrade your units to make them stronger.
TID_REWARD_TYPE_INFO_ITEM,Items give additional powers to you troops. Some powers require minimum group size to activate.
TID_REWARD_TYPE_INFO_ITEM_UPGRADE,Items have different levels of power. You just found a more powerful version of this Item.
TID_REWARD_TYPE_INFO_UNLOCK,You can now use this in Battle!
,
TID_INFO_GEMS,These precious Gems are used to buy things from the shop and to continue playing even if you're out of energy.
TID_POPOVER_GEM,These precious <c3CB01D>Gems</c> are used to buy things from the shop and to continue playing even if you're out of energy.
,
TID_INFO_GOLD,Gold is used for upgrading troops and spells and shopping!
TID_POPOVER_COINS,Spend <cF8A203>Gold</c> to upgrade your troops and spells.
,
TID_INFO_STARS,Total <cb78a62>Star Chests</c> you’ve collected.
TID_INFO_PUZZLE_ENERGY,Quest Energy is used to play the battles in Quest.
TID_INFO_ENERGY_SCROLL,Quest Tokens can be used to play battles in Quest when you’re out of energy.
TID_INFO_CHALLENGE_TOKEN,League Tokens can be used to play battles in League.
TID_POPVOER_ENERGY,Your current <c78b4cd>Quest Energy.</c> Use Energy to play the levels.
TID_POPOVER_ENERGY_COUNTER,More Energy in:\n<time>
TID_POPOVER_ENERGY_COUNTER_FULL,Your <c78b4cd>Energy</c> is maxed out! Go play some levels.
TID_POPOVER_ENERGY_SCROLL_COUNT,You have <number> <c78b4cd>Quest Tokens.</c> Quest Tokens can be used to play levels when out of Energy.
TID_POPOVER_STARS,Total amount of <c833939>Star Chests</c> you've gained so far.
,
TID_POPOVER_CHALLENGE,You get one Free Try per League Day.\n\nYou can use a <ce48810>League Token</c> to play if you're out of tries.
,
TID_RANDOM_LOOT,Looted from defenses
TID_WIN_CHEST_1,Wooden Star Chest
TID_WIN_CHEST_2,Silver Star Chest
TID_WIN_CHEST_3,Golden Star Chest
TID_WIN_CHEST_4,Wooden Star Chest (Level 2)
TID_WIN_CHEST_5,Silver Star Chest (Level 2)
TID_WIN_CHEST_6,Golden Star Chest (Level 2)
TID_WIN_CHEST_7,Wooden Star Chest (Level 3)
TID_WIN_CHEST_8,Silver Star Chest (Level 3)
TID_WIN_CHEST_9,Golden Star Chest (Level 3)
TID_WIN_CHEST_10,Wooden Star Chest (Level 4)
TID_WIN_CHEST_11,Silver Star Chest (Level 4)
TID_WIN_CHEST_12,Golden Star Chest (Level 4)
TID_WIN_CHEST_CAP,Wooden Star Chest
TID_WIN_CHEST_START_1,Wooden Star Chest
TID_WIN_CHEST_START_2,Wooden Star Chest
TID_WIN_CHALLENGE_CHEST_1,League Chest
TID_WIN_CHEST_N,Island Tresure Chest
TID_CHALLENGE_CHEST_1,Stage Reward (Level 1)
TID_CHALLENGE_CHEST_2,Stage Reward (Level 2)
TID_CHALLENGE_CHEST_3,Stage Reward (Level 3)
TID_LEAGUE_CHEST_1,Season End Reward
TID_LEAGUE_CHEST_2,Season End Reward
TID_QUEST_CHEST_1,Quest Reward
,
TID_BUTTON_SEARCH,Search
TID_CLAN_NAME,Clan name:
TID_CLAN_DESCRIPTION,Clan description:
,
TID_BUILDING_CANNON,Cannon
TID_BUILDING_GOLD_STORAGE,Gold Storage
TID_BUILDING_WALL,Wall
TID_BUILDING_XBOW,X-Bow
TID_BUILDING_WIZARD_TOWER,Wizard Tower
TID_BUILDING_ARCHER_TOWER,Archer Tower
TID_BUILDING_MORTAR,Mortar
TID_BUILDING_WAGON,Gold Wagon
TID_BUILDING_BARREL,Barrel
TID_BUILDING_TESLA,Tesla
TID_BUILDING_INFERNO_TOWER,Inferno Tower
TID_BUILDING_DRAFT_TACTICS,Tactic Storage
TID_BUILDING_DRAFT_TROOPS,Barracks
TID_BUILDING_DRAFT_SPELLS,Spell Storage
TID_CARD_FIRE_SPIRIT,Fire Spirits
,
TID_TUTORIAL_NEXT_BATTLE_1,There seem to be more of these islands..
TID_TUTORIAL_NEXT_BATTLE_2,I wonder what treasures they hold..
TID_TUTORIAL_NEXT_BATTLE_3,"We’ll see, but first we must find our friends."
TID_TUTORIAL_NEXT_BATTLE_4,Let’s explore the first one. Tap the island.
TID_TUTORIAL_NEXT_BATTLE_5,Tap the level.
TID_TUTORIAL_NEXT_BATTLE_6,Tap the Attack button!
,
TID_TUTORIAL_INTRO_1,"Ugh, my robe's all wet. I hate water.. And swimming."
TID_TUTORIAL_INTRO_2,Care to try with armor?\nI hope this doesn’t leave a stain…
TID_TUTORIAL_INTRO_3,And how can Barbarian run underwater?!
TID_TUTORIAL_INTRO_4,"Guys, how about we focus on those Cannons?"
,
TID_TUTORIAL_TAP_BARBARIAN_1,WAAAGH!
TID_TUTORIAL_TAP_BARBARIAN_2,Looks like he’s ready to go!\nTap Barbarian to attack!
,
TID_TUTORIAL_TAP_ARCHER_1,Nice!\nHe damaged the Cannon.
TID_TUTORIAL_TAP_ARCHER_2,Let me show what our group can do.
TID_TUTORIAL_TAP_ARCHER_3,Tap us for a combo attack!
,
TID_TUTORIAL_TAP_WIZARD_1,"The bigger the group, bigger the combo bonus."
TID_TUTORIAL_TAP_WIZARD_2,Let us show you a magic trick..
TID_TUTORIAL_TAP_WIZARD_3,Tap us to to make the Cannons disappear.. with fire!
,
TID_TUTORIAL_ENEMY_ATTACKS_1,Watch out! Those Cannons look like they’re about to fire!
TID_TUTORIAL_ENEMY_ATTACKS_2,Numbers next to enemies count down to their next attack.
TID_TUTORIAL_ENEMY_ATTACKS_3,These Cannons will shoot at us after our turn!
,
TID_TUTORIAL_REWARD_SCREEN_1,Great work!\nTo the victor go the spoils!
TID_TUTORIAL_REWARD_SCREEN_2,(Who’s Victor?)
TID_TUTORIAL_REWARD_SCREEN_3,"This is what we.. ehm, acquired, from the level."
,
TID_TUTORIAL_EXPLAIN_SUMMARY_1,Here’s a summary of everything we gained.
TID_TUTORIAL_EXPLAIN_SUMMARY_2,"If you’re unsure what something is, just tap it!"
,
TID_TUTORIAL_ALL_RESERVES_EMPTY_1,Our reserves are empty!
TID_TUTORIAL_ALL_RESERVES_EMPTY_2,No more units will come into play.
TID_TUTORIAL_ALL_RESERVES_EMPTY_3,We’ll lose if we run out of units.
,
TID_TUTORIAL_SPELLS_1,Hey! Looks like we can use my favorite Spell!
TID_TUTORIAL_SPELLS_2,Tap on the Spell button.
TID_TUTORIAL_SPELLS_3,Use the spell by tapping on the highlighted board.
TID_TUTORIAL_SPELLS_4,Great! I love the fireworks!
TID_TUTORIAL_SPELLS_5,Spells can only be used a limited number of times per battle.
TID_TUTORIAL_SPELLS_6,Go get em!
,
TID_TUTORIAL_UPGRADE_CARD_1,Looks like we have enough Gold and Elixir for an upgrade!
TID_TUTORIAL_UPGRADE_CARD_2,"First, tap the Squad tab."
TID_TUTORIAL_UPGRADE_CARD_3,"On this page you can see all your Troops, Spells and Tactics."
TID_TUTORIAL_UPGRADE_CARD_4,Tap the unit you can upgrade.
TID_TUTORIAL_UPGRADE_CARD_5,"Here you can see the unit's stats, items and what it costs to upgrade."
TID_TUTORIAL_UPGRADE_CARD_6,Tap on the Upgrade button.
TID_TUTORIAL_UPGRADE_CARD_7,Upgrading units makes them stronger.
TID_TUTORIAL_UPGRADE_CARD_8,"With stronger units, we’re able to win harder battles."
TID_TUTORIAL_UPGRADE_CARD_9,"Also earlier battles will become easier, if you'd wish to replay them."
,
TID_TUTORIAL_HOLD_1,Hey! Just a quick note.
TID_TUTORIAL_HOLD_2,Press and hold on a unit to preview its attack
TID_TUTORIAL_HOLD_3,This works on enemies too! Good luck!
,
TID_TUTORIAL_REMINDER_HOLD_1,Quick reminder about previewing.
TID_TUTORIAL_REMINDER_HOLD_2,Press and hold on a unit to preview its attack
TID_TUTORIAL_REMINDER_HOLD_3,All the cool people use preview!
,
TID_TUTORIAL_NODE_REWARD_1,Looks like this chest unlocks when we beat all stages of an island!
TID_TUTORIAL_NODE_REWARD_2,Tap on the Chest to reveal the rewards inside!
,
TID_TUTORIAL_INTRODUCE_TROOPS_1,Salutations!\nWe haven’t been properly introduced yet!
TID_TUTORIAL_INTRODUCE_TROOPS_2,"You can address me by my royal title, Prince."
TID_TUTORIAL_INTRODUCE_TROOPS_3,These are my subjects…
TID_TUTORIAL_INTRODUCE_TROOPS_4,HEY!\nGet off your high horse!
TID_TUTORIAL_INTRODUCE_TROOPS_5,"While adventuring, we’re all equal!"
TID_TUTORIAL_INTRODUCE_TROOPS_6,"Yes, yes, sure. Anyway.."
TID_TUTORIAL_INTRODUCE_TROOPS_7,First we have the Barbarian…
TID_TUTORIAL_INTRODUCE_TROOPS_8,"Simple enough, he’ll run to the nearest enemy and hit them."
TID_TUTORIAL_INTRODUCE_TROOPS_9,"Then there’s me, the Prince. In my shining armor of course."
TID_TUTORIAL_INTRODUCE_TROOPS_10,"I do more damage, but this stubborn horse only goes forward!"
TID_TUTORIAL_INTRODUCE_TROOPS_11,(You never ask me to turn.. And what did she mean by “high horse”?)
TID_TUTORIAL_INTRODUCE_TROOPS_12,Did you hear something?\n\nMoving on..
TID_TUTORIAL_INTRODUCE_TROOPS_13,"On the ranged side, here’s the Archer."
TID_TUTORIAL_INTRODUCE_TROOPS_14,She’ll shoot over walls at the nearest enemies. Never misses.
TID_TUTORIAL_INTRODUCE_TROOPS_15,"And finally, the fiery Wizard!"
TID_TUTORIAL_INTRODUCE_TROOPS_16,"His fireballs do a little less damage each, but to a much larger area!"
TID_TUTORIAL_INTRODUCE_TROOPS_17,Each troop is different. It’s up to you to use them efficiently.
TID_TUTORIAL_INTRODUCE_TROOPS_18,Good Luck! Ta ta!
TID_TUTORIAL_INTRODUCE_TROOPS_19,(You’re gonna need luck with this bunch.. )
,
TID_TUTORIAL_NEXT_LEVEL_UNLOCKED_1,Later stages are much more challenging…
TID_TUTORIAL_NEXT_LEVEL_UNLOCKED_2,But you only need to beat the first stage to unlock the next level!
TID_TUTORIAL_NEXT_LEVEL_UNLOCKED_3,Sometimes it’s better to move on than to get stuck.
,
TID_TUTORIAL_ITEM_ACTIVATION_1,Looks like you’ve found an item for your troops!
TID_TUTORIAL_ITEM_ACTIVATION_2,Items add special powers to your troops’ attacks.
TID_TUTORIAL_ITEM_ACTIVATION_3,Most powers only activate when the group is big enough.
TID_TUTORIAL_ITEM_ACTIVATION_4,These icons show if the item power can activate.
,
TID_TUTORIAL_ONLY_SPELL_LEFT_1,"Looks like you're out of troops, but still have a spell left."
TID_TUTORIAL_ONLY_SPELL_LEFT_2,"Take out an enemy if you can, as you might get loot from it."
,
TID_TUTORIAL_GOBLIN_KING_1,Salutations!\nMight I inquire who you are?
TID_TUTORIAL_GOBLIN_KING_2,The true\nGoblin King!\nExiled by my usurper brother!
TID_TUTORIAL_GOBLIN_KING_3,Joke’s on him though!\nHe's still pestering villages on the continent..
TID_TUTORIAL_GOBLIN_KING_4,..while I enjoy the bounty of these islands.\nNow fetch me lunch!
TID_TUTORIAL_GOBLIN_KING_5,Lunch? You're asking us to get you lunch?\nHow about you eat lance!
TID_TUTORIAL_GOBLIN_KING_6,(Oh boy.. here we go again!)
,
TID_TUTORIAL_GOBLIN_KING_2_1,Geez.. another brother?
TID_TUTORIAL_GOBLIN_KING_2_2,Hah! No!\nIt takes more than that to defeat me!
TID_TUTORIAL_GOBLIN_KING_2_3,Special Elixir of these Islands makes me powerful and—
TID_TUTORIAL_GOBLIN_KING_2_4,Whatever! Let’s fight!
,
TID_TUTORIAL_WASTED_FIREBALL_1,Hey! I noticed that you haven’t used the Fireball spell to it’s full potential.
TID_TUTORIAL_WASTED_FIREBALL_2,It’s often a good idea to use it early and on clumps of enemies!
,
TID_TUTORIAL_CHALLENGE_MODE_1,Welcome to the League!\nTest your mettle in an endless battle!
TID_TUTORIAL_CHALLENGE_MODE_2,Each Stage you clear rewards you with a Trophy and a Chest.
TID_TUTORIAL_CHALLENGE_MODE_3,You fight on until you run out of Troops and Spells.
TID_TUTORIAL_CHALLENGE_MODE_4,There’s also Special Buildings! Destroy these to fill your reserves.
TID_TUTORIAL_CHALLENGE_MODE_5,Get the trophies and rise to the glorious top!
,
TID_TUTORIAL_LAVA_GOLEM_1_1,That thing is huge! The arms look like they might come off.
TID_TUTORIAL_LAVA_GOLEM_1_2,"If we want to take it down, we need to focus on the body."
,
TID_TUTORIAL_LAVA_GOLEM_2_1,There’s that hunk of lava rock again.
TID_TUTORIAL_LAVA_GOLEM_2_2,It won’t escape this time!
,
TID_TUTORIAL_PAPA_DRAGON_1_1,Hey! Get down here and taste my lance!
TID_TUTORIAL_PAPA_DRAGON_1_2,(What’s with him and the lance eating?)
TID_TUTORIAL_PAPA_DRAGON_1_3,"You better wait for it to land before you go charging in, Prince."
,
TID_TUTORIAL_PAPA_DRAGON_2_1,"Hmm... Don’t Baby Dragons grow up to be, you know, Dragons?"
TID_TUTORIAL_PAPA_DRAGON_2_2,"Actually, I think it’s cute! It’s almost a shame to defeat it. Almost."
,
TID_BACK_BUTTON_PRESSED_DURING_TUTORIAL,Please follow the tutorial!
,
TID_NOTIFICIATION_ONE_ENERGY_RESTORED,Energy available again!
TID_NOTIFICATION_PUZZLE_ENERGY_RESTORED_ALL,Your Energy is full! Time to battle!
TID_NOTIFICATION_ENDLESS_MODE_SEASON_CHANGE,New League Season is starting
TID_NOTIFICATION_ENDLESS_MODE_DAY_CHANGE,New League Day has started
TID_NOTIFICATION_ENDLESS_MODE_DAY_NOT_YET_PLAYED,Last chance to play League today!
TID_NOTIFICATION_NEW_QUEST_AVAILABLE,New quest is available!
TID_NOTIFICATION_NEW_DEALS_IN_SHOP,New deals available in shop!
TID_NOTIFICATION_COME_BACK_SMALL,Your troops want to attack.
TID_NOTIFICATION_COME_BACK_MEDIUM,Your troops want to attack.
TID_NOTIFICATION_COME_BACK_LARGE,Your troops want to attack.
,
TID_QUEST_COMPLETED,Side Quest completed!
TID_QUEST_EXPIRED,Side Quest expired
,
TID_ENERGY_SCROLL,Quest Tokens
TID_CHALLENGE_TOKEN,League Tokens
,
TID_ENDLESS_TRIES_LEFT,<NUM> Free Tries!
TID_ENDLESS_TRIES_LEFT_SINGULAR,Free Try!
TID_ENDLESS_BEST_SCORE_FOR_TODAY,Best score:
TID_ENDLESS_DAY_TIME_LEFT,<TIME>
TID_ENDLESS_DAY_TIME_LEFT_GAME,<TIME>
TID_ENDLESS_SEASON_TIME_LEFT,<cF3F2C8>Season ends in</c> <TIME>
TID_ENDLESS_SEASON_DAY,<cF3F2C8>Day</c> <DAY>
TID_ENDLESS_MODE_UNLOCKED_AT,Unlock by collecting\n<cf3f2c8><STARS> Star Chests</c>
TID_CHALLENGE_STAY,Staying on current League level
TID_CHALLENGE_MOVE_UP,Moving up to next League level
TID_CHALLENGE_MOVE_DOWN,Moving down to previous League level
TID_CHALLENGE_LEGEND,Total of daily high scores
TID_CHALLENGE_SEASON_OVER,Season over
,
TID_LEAGUE_LEGENDARY_1,Legendary I
TID_LEAGUE_LEGENDARY_2,Legendary II
TID_LEAGUE_LEGENDARY_3,Legendary III
TID_LEAGUE_PLATINUM_1,Platinum I
TID_LEAGUE_PLATINUM_2,Platinum II
TID_LEAGUE_PLATINUM_3,Platinum III
TID_LEAGUE_GOLD_1,Gold I
TID_LEAGUE_GOLD_2,Gold II
TID_LEAGUE_GOLD_3,Gold III
TID_LEAGUE_SILVER_1,Silver I
TID_LEAGUE_SILVER_2,Silver II
TID_LEAGUE_SILVER_3,Silver III
TID_LEAGUE_BRONZE_1,Bronze I
TID_LEAGUE_BRONZE_2,Bronze II
TID_LEAGUE_BRONZE_3,Bronze III
